"volatile.acidity","citric.acid","alcohol","pH","sulphates","quality","nivell.qualitat"
0.67,0.55,9.4,3.17,0.62,5,"Normal"
0.68,0.02,10,3.54,0.52,5,"Normal"
0.49,0.26,9.3,3.11,0.8,5,"Normal"
0.49,0.1,10.2,3.42,0.58,6,"Normal"
0.4,0.44,10.5,3.53,0.61,6,"Normal"
0.33,0.47,10.3,3.33,0.53,6,"Normal"
0.52,1,9.4,2.74,2,4,"Dolent"
0.6,0.03,10.1,3.35,0.54,5,"Normal"
0.6,0.03,10.1,3.35,0.54,5,"Normal"
0.43,0.42,10.5,3.42,0.72,5,"Normal"
0.43,0.42,10.5,3.42,0.71,5,"Normal"
0.43,0.42,10.5,3.42,0.72,5,"Normal"
0.43,0.42,10.5,3.42,0.71,5,"Normal"
0.68,0,9.3,3.48,0.5,5,"Normal"
0.6,0.18,9.3,3.59,0.57,6,"Normal"
0.95,0.03,9.6,3.2,0.56,5,"Normal"
0.68,0.02,9.2,3.17,1.08,4,"Dolent"
0.53,0.04,10,3.33,0.56,6,"Normal"
0.6,0.26,9.4,3.37,0.49,5,"Normal"
0.59,0.26,9.4,3.37,0.49,5,"Normal"
0.63,0.48,9.5,3.19,0.62,5,"Normal"
0.64,0.1,10.2,3.34,0.52,5,"Normal"
0.55,0.03,9,3.37,0.48,4,"Dolent"
0.63,0.07,10.4,3.47,0.55,6,"Normal"
0.705,0.24,9.5,3,1.59,5,"Normal"
0.885,0.03,9.1,3.36,0.33,4,"Dolent"
0.42,0.17,9.2,3.29,0.61,6,"Normal"
0.42,0.17,9.2,3.29,0.61,6,"Normal"
0.62,0.05,11.5,3.42,0.57,6,"Normal"
0.38,0.21,9.5,3.33,0.47,5,"Normal"
0.5,0.04,9.5,3.35,0.78,5,"Normal"
0.38,0.21,9.5,3.33,0.47,5,"Normal"
0.52,0.42,10.5,3.58,0.61,6,"Normal"
0.805,0,9.6,3.48,0.56,5,"Normal"
0.61,0.14,9.5,3.19,0.59,5,"Normal"
0.61,0.14,9.5,3.19,0.59,5,"Normal"
0.61,0.49,9.3,3.12,1.02,5,"Normal"
0.73,0.02,9.3,3.44,0.52,5,"Normal"
0.61,0.2,9.3,3.54,0.58,5,"Normal"
0.62,0.21,9.3,3.52,0.58,6,"Normal"
0.31,0.57,9.7,3.26,0.53,5,"Normal"
0.39,0.48,9.2,3.34,0.55,5,"Normal"
0.705,0.1,9.7,3.39,0.49,5,"Normal"
0.5,0.33,9.5,3.2,0.55,5,"Normal"
0.49,0.32,9.5,3.2,0.55,5,"Normal"
0.5,0.35,9.4,3.23,0.62,5,"Normal"
0.37,0.25,9.8,3.57,0.62,6,"Normal"
0.63,0.12,9.5,3.28,0.61,5,"Normal"
0.55,0.21,9.7,3.28,0.55,5,"Normal"
0.55,0.21,9.7,3.28,0.55,5,"Normal"
0.59,0.33,9.4,3.25,0.54,5,"Normal"
0.58,0.3,10.2,3.46,0.59,5,"Normal"
0.3,0.6,10.1,3.11,0.97,6,"Normal"
0.835,0.08,13,3.57,0.85,7,"Bo"
1.09,0.06,11.4,3.51,0.43,4,"Dolent"
0.32,0.47,10.3,3.22,0.82,7,"Bo"
0.37,0.48,9.3,3.04,1.03,5,"Normal"
0.5,0.11,9.5,3.36,0.79,5,"Normal"
0.42,0.35,9.2,3.34,0.55,5,"Normal"
0.43,0.36,9.2,3.34,0.56,6,"Normal"
0.3,0.74,10.8,3.2,0.77,7,"Bo"
0.3,0.74,10.8,3.2,0.77,7,"Bo"
0.57,0.31,9.3,3.29,0.53,5,"Normal"
0.44,0.28,9.4,3.22,0.67,5,"Normal"
0.3,0.58,10.5,3.31,0.88,7,"Bo"
0.53,0.6,12.4,3.3,0.86,6,"Normal"
0.725,0.24,10,3.35,0.56,6,"Normal"
0.44,0.64,10.2,3.21,0.67,6,"Normal"
0.57,0.26,10.1,3.3,0.43,5,"Normal"
0.735,0.08,9.8,3.24,0.71,6,"Normal"
0.49,0.49,10.5,3.34,0.76,5,"Normal"
0.625,0.16,11,3.14,0.57,5,"Normal"
0.725,0.22,9.1,3.36,0.55,5,"Normal"
0.49,0.19,9.7,3.39,0.54,5,"Normal"
0.53,0.33,9.5,3.3,0.6,5,"Normal"
0.34,0.37,9.4,3.34,0.59,6,"Normal"
0.53,0.26,9.4,3.15,0.57,5,"Normal"
0.61,0.04,9.5,3.42,0.6,5,"Normal"
0.645,0.25,10,3.28,0.6,6,"Normal"
0.635,0.36,10.4,3.31,0.57,4,"Dolent"
0.43,0.25,10.5,3.37,0.58,6,"Normal"
0.59,0.5,9.5,3.04,1.61,6,"Normal"
0.82,0.14,9.8,3.39,0.63,5,"Normal"
0.43,0.25,10.5,3.37,0.58,6,"Normal"
0.52,0.25,11,3.46,0.5,5,"Normal"
0.48,0.04,12.2,3.54,0.62,7,"Bo"
0.38,0.06,9.9,3.37,0.52,6,"Normal"
0.37,0.2,9.6,3.34,0.7,6,"Normal"
0.52,0.25,11,3.46,0.5,5,"Normal"
1,0.09,9,3.32,0.55,6,"Normal"
0.63,0,9,3.37,0.58,6,"Normal"
0.63,0,9,3.37,0.58,6,"Normal"
0.645,0,9.2,3.37,0.58,6,"Normal"
0.63,0,9,3.37,0.58,6,"Normal"
1,0.09,9,3.32,0.55,6,"Normal"
0.635,0.37,9.3,3,1.09,5,"Normal"
0.38,0.56,10.9,3.14,0.71,6,"Normal"
0.58,0.1,9.8,3.08,0.49,6,"Normal"
0.21,0.44,9.2,3.07,0.84,7,"Bo"
0.21,0.44,9.2,3.07,0.84,7,"Bo"
0.66,0,9.9,3.61,0.96,6,"Normal"
0.68,0.07,9.5,3.38,0.52,5,"Normal"
0.6,0.17,9.3,3.2,0.45,5,"Normal"
0.53,0.06,9.8,3.35,0.48,6,"Normal"
0.66,0,9.9,3.61,0.96,6,"Normal"
0.32,0.44,10,3.22,0.78,6,"Normal"
0.6,0,9.9,3.47,0.7,6,"Normal"
0.35,0.48,10.5,3.17,0.53,5,"Normal"
0.775,0.42,9.5,3.23,0.59,5,"Normal"
0.6,0,9.9,3.47,0.7,6,"Normal"
0.57,0.23,9.3,3.26,0.57,5,"Normal"
0.34,0.37,9.2,3.22,0.62,5,"Normal"
0.695,0,9.2,3.49,0.67,5,"Normal"
0.41,0.76,9.4,3.06,1.26,5,"Normal"
0.31,0.47,10.5,3.36,0.8,7,"Bo"
0.33,0.23,9.3,3.29,0.65,5,"Normal"
0.975,0.04,9.4,3.35,0.6,4,"Dolent"
0.52,0.03,10,3.34,0.57,5,"Normal"
0.37,0.23,9.3,3.28,0.67,5,"Normal"
0.56,0.49,10.9,3.08,0.87,5,"Normal"
0.26,0.52,10.2,3.2,0.72,7,"Bo"
0.87,0,9.8,3.6,0.72,4,"Dolent"
0.35,0.46,12.8,3.35,0.86,8,"Bo"
0.54,0.04,9.4,3.69,0.91,6,"Normal"
0.18,0.51,10.1,3.28,0.97,6,"Normal"
0.545,0.06,10.7,3.36,0.67,6,"Normal"
0.18,0.51,10.1,3.28,0.97,6,"Normal"
0.37,0.58,10.1,3.22,0.78,5,"Normal"
0.715,0.2,9.4,3.31,0.64,5,"Normal"
0.65,0.18,9.4,3.38,0.77,5,"Normal"
0.545,0.06,10.7,3.36,0.67,6,"Normal"
0.54,0.04,9.4,3.69,0.91,6,"Normal"
0.18,0.51,10.1,3.28,0.97,6,"Normal"
0.32,0.45,12.6,3.23,0.82,8,"Bo"
0.4,0.32,10.5,3.38,0.77,7,"Bo"
0.26,0.44,9.3,3.12,0.82,6,"Normal"
0.27,0.68,9.9,3.25,1.08,7,"Bo"
0.52,0.12,9.1,3.36,0.57,5,"Normal"
0.4,0.32,10.5,3.38,0.77,7,"Bo"
0.59,0.07,9.8,3.31,0.71,5,"Normal"
0.59,0.07,9.8,3.31,0.71,5,"Normal"
0.45,0.55,10.3,3.1,0.76,6,"Normal"
0.4,0.12,10.3,3.37,0.7,6,"Normal"
0.52,0.09,10.6,3.34,0.86,7,"Bo"
0.42,0.53,9.2,3.2,0.95,5,"Normal"
0.52,0.09,10.6,3.34,0.86,7,"Bo"
0.2,0.48,10.5,3.3,0.71,5,"Normal"
0.55,0.23,10.3,3.22,0.64,6,"Normal"
0.36,0.25,10.1,3.41,0.6,6,"Normal"
0.34,0.52,9.5,3.05,0.81,6,"Normal"
0.5,0.46,9.5,3.05,0.64,5,"Normal"
0.83,0.37,9.9,3.16,0.52,5,"Normal"
0.63,0.06,9.6,3.67,0.73,5,"Normal"
0.65,0.02,9.7,3.67,0.8,5,"Normal"
0.67,0.06,9.6,3.68,0.71,5,"Normal"
0.53,0.06,10.7,3.38,0.59,6,"Normal"
0.18,0.48,10.1,3.22,0.64,6,"Normal"
0.705,0.12,10,3.51,0.72,5,"Normal"
0.67,0.12,9.5,3.39,0.54,5,"Normal"
0.65,0.6,9.2,3.2,0.52,5,"Normal"
0.53,0.48,9.3,3.12,0.59,6,"Normal"
0.62,0.32,9.4,3.36,0.52,5,"Normal"
0.41,0.42,9.5,3.19,0.62,6,"Normal"
0.43,0.44,9.5,3.19,0.63,6,"Normal"
0.29,0.38,9.5,3.41,0.53,6,"Normal"
0.53,0.48,9.3,3.12,0.59,6,"Normal"
0.53,0.24,9.4,3.27,0.54,6,"Normal"
0.46,0.31,9.5,3.32,0.63,6,"Normal"
0.47,0.3,9.4,3.3,0.53,5,"Normal"
0.36,0.29,11,3.39,0.68,5,"Normal"
0.35,0.29,11,3.42,0.65,6,"Normal"
0.56,0.23,10.1,3.3,0.65,5,"Normal"
0.77,0.12,10.4,3.3,0.64,6,"Normal"
0.66,0.39,11.5,3.37,0.71,7,"Bo"
0.77,0.12,10.4,3.3,0.64,6,"Normal"
0.66,0.39,11.5,3.37,0.71,7,"Bo"
0.61,0.26,9.7,3.24,0.62,5,"Normal"
0.62,0.05,9.3,3.29,0.63,5,"Normal"
0.59,0.42,9.5,3.28,0.7,6,"Normal"
0.49,0.2,9.2,3.16,0.69,6,"Normal"
0.49,0.2,9.2,3.16,0.69,6,"Normal"
0.53,0.66,11.5,3.05,0.74,7,"Bo"
0.44,0.5,11.5,3.28,0.83,5,"Normal"
0.27,0.62,9.7,3.16,0.67,6,"Normal"
0.46,0.39,9.5,3.18,0.62,5,"Normal"
0.36,0.64,12.5,3.23,0.66,6,"Normal"
0.36,0.64,12.5,3.23,0.66,6,"Normal"
0.58,0.28,9.4,3.22,0.54,6,"Normal"
0.56,0.08,11,3.13,0.52,5,"Normal"
0.65,0.01,11.7,3.34,0.74,7,"Bo"
0.695,0.53,12.2,3.17,0.84,7,"Bo"
0.43,0.45,12.5,3.35,0.7,6,"Normal"
0.43,0.32,10.3,3.31,0.64,5,"Normal"
0.49,0.58,11.5,3.16,1,6,"Normal"
0.28,0.54,9.8,3.11,1.36,7,"Bo"
0.34,0.5,9.2,3.12,1.18,6,"Normal"
0.42,0.48,11.3,3.21,0.87,6,"Normal"
0.39,0.47,9.8,3.3,0.75,6,"Normal"
0.39,0.47,9.8,3.3,0.75,6,"Normal"
0.57,0.5,10.7,3.12,0.78,6,"Normal"
0.685,0,9.9,3.6,0.81,5,"Normal"
0.815,0.02,12.3,3.58,0.89,7,"Bo"
0.49,0.67,12,3.02,0.93,6,"Normal"
0.56,0.31,10,3.11,0.92,6,"Normal"
0.785,0,9.4,3.36,0.86,6,"Normal"
0.67,0.22,9.9,3.28,0.98,6,"Normal"
0.795,0,9.4,3.35,0.83,6,"Normal"
0.665,0,9.3,3.27,0.73,5,"Normal"
0.53,0.79,13,3.18,0.77,5,"Normal"
0.21,0.4,11.9,3.25,0.59,6,"Normal"
0.75,0.01,12.8,3.55,0.61,6,"Normal"
0.41,0.52,11,3.26,0.88,5,"Normal"
0.42,0.66,11.7,3.24,0.75,7,"Bo"
0.43,0.66,10.4,3.15,0.85,7,"Bo"
0.38,0.66,9.8,3.17,0.68,6,"Normal"
0.7,0.23,9.4,3.19,0.7,5,"Normal"
0.45,0.31,9.9,3.37,0.91,6,"Normal"
0.58,0.66,10,3.05,0.56,5,"Normal"
0.46,0.63,10.2,2.99,0.87,5,"Normal"
0.615,0.66,10,3.07,0.73,7,"Bo"
0.42,0.5,11.8,3.26,0.93,6,"Normal"
0.615,0.66,10,3.07,0.73,7,"Bo"
0.575,0.61,9,3.16,0.69,5,"Normal"
0.34,0.52,9.4,3.18,0.64,5,"Normal"
0.27,0.53,12,3.2,1.13,7,"Bo"
0.765,0.02,9.9,3.57,0.78,5,"Normal"
0.24,0.4,8.7,3.32,0.87,6,"Normal"
0.28,0.48,10.6,3.32,1.04,6,"Normal"
0.55,0.22,9.2,3.05,0.63,5,"Normal"
0.41,0.63,10.8,3.01,0.81,6,"Normal"
0.54,0.71,11.8,3.01,0.83,7,"Bo"
0.45,0.5,11,3.26,1.11,6,"Normal"
0.27,0.53,12,3.2,1.13,7,"Bo"
0.625,0.66,13.3,3.11,0.99,6,"Normal"
0.42,0.38,10.8,3.31,0.7,6,"Normal"
0.26,0.42,9.4,3.21,0.8,6,"Normal"
0.415,0.68,10,3.06,0.8,6,"Normal"
0.26,0.42,9.4,3.21,0.8,6,"Normal"
0.26,0.42,9.4,3.21,0.8,6,"Normal"
0.51,0.28,9.2,3.42,0.74,5,"Normal"
0.63,0.07,9.7,3.43,0.76,6,"Normal"
0.54,0.26,9.2,3.41,0.74,6,"Normal"
0.66,0.15,9.6,3.31,0.54,6,"Normal"
0.46,0.26,9.2,3.43,0.74,6,"Normal"
0.38,0.31,10,3.19,0.7,7,"Bo"
0.85,0.05,12.9,3.56,0.82,8,"Bo"
0.415,0.68,10,3.06,0.8,6,"Normal"
0.37,0.52,9.5,3.18,0.51,5,"Normal"
0.665,0.61,9.1,3.16,0.54,5,"Normal"
0.6,0.65,9.9,3.03,0.57,5,"Normal"
0.37,0.76,13,3.22,0.6,7,"Bo"
0.735,0.02,9.9,3.47,0.53,5,"Normal"
0.59,0.59,11,3.18,0.65,6,"Normal"
0.59,0.59,11,3.18,0.65,6,"Normal"
0.765,0.22,9.4,3.1,0.55,5,"Normal"
0.735,0.02,9.9,3.47,0.53,5,"Normal"
0.26,0.3,10.8,3.29,0.47,6,"Normal"
0.48,0.54,10.5,3.1,0.61,6,"Normal"
0.6,0.49,10.5,3.15,0.63,6,"Normal"
0.69,0.05,9.1,3.26,0.61,5,"Normal"
0.31,0.46,10.1,3.36,0.76,6,"Normal"
0.44,0.47,10.8,3.24,0.65,6,"Normal"
0.39,0.66,10.8,3.18,0.63,7,"Bo"
0.34,0.58,11.3,3.19,0.7,6,"Normal"
0.46,0.49,9.6,3.05,0.57,4,"Dolent"
0.43,0.34,9.5,3.38,0.62,6,"Normal"
0.45,0.35,9.5,3.38,0.62,5,"Normal"
0.735,0.16,9.3,3.27,0.64,5,"Normal"
0.4,0.53,11.7,3.27,0.82,7,"Bo"
0.52,0.34,9.5,3.26,0.61,5,"Normal"
0.725,0.24,9.3,3.32,1.07,5,"Normal"
0.48,0.64,11.7,3.26,0.66,6,"Normal"
0.58,0.12,10.5,3.44,0.48,5,"Normal"
0.38,0.51,10.4,3.24,0.76,6,"Normal"
0.77,0,9.9,3.62,0.68,5,"Normal"
0.56,0.33,11.8,3.28,0.73,7,"Bo"
0.84,0.03,12.3,3.52,0.56,7,"Bo"
0.96,0.2,10.9,3.36,0.44,5,"Normal"
0.24,0.47,11,3.15,0.9,7,"Bo"
0.96,0.2,10.9,3.36,0.44,5,"Normal"
0.84,0.03,12.3,3.52,0.56,7,"Bo"
0.67,0.08,11.4,3.49,0.49,6,"Normal"
0.78,0.22,10.6,3.26,0.56,6,"Normal"
0.52,0.33,9.3,3.24,0.6,5,"Normal"
0.84,0.63,10.4,3.1,0.6,6,"Normal"
0.24,0.47,11,3.15,0.9,7,"Bo"
0.55,0.35,9.2,3.25,0.56,5,"Normal"
0.37,0.69,12.8,3,0.65,6,"Normal"
0.39,0.63,9.5,3.16,0.49,5,"Normal"
0.41,0.55,9.9,3.15,0.89,6,"Normal"
0.39,0.63,9.5,3.16,0.49,5,"Normal"
0.67,0.3,10.2,3.26,0.56,6,"Normal"
0.45,0.73,11.2,3.17,0.66,6,"Normal"
0.41,0.55,9.9,3.15,0.89,6,"Normal"
0.62,0.18,9.3,3.08,0.6,5,"Normal"
0.31,0.72,9.8,2.88,0.82,8,"Bo"
0.4,0.65,11.3,3.06,0.68,6,"Normal"
0.685,0.76,11.2,2.95,0.68,7,"Bo"
0.44,0.49,11.6,3.23,0.63,7,"Bo"
0.57,0.01,12.5,3.57,0.84,7,"Bo"
0.735,0.1,10.1,3.23,0.56,6,"Normal"
0.38,0.6,10.5,3.1,0.73,5,"Normal"
0.48,0.29,11.2,3.22,0.72,5,"Normal"
0.53,0.22,10.2,3.2,0.56,6,"Normal"
0.39,0.69,10.8,3.1,0.61,6,"Normal"
0.39,0.69,10.8,3.1,0.61,6,"Normal"
0.37,0.53,9.1,3.06,1.06,6,"Normal"
0.56,0.03,10,3.44,0.63,6,"Normal"
0.33,0.63,11.2,3.26,0.74,7,"Bo"
0.23,0.4,11.1,3.5,0.63,5,"Normal"
0.62,0.67,13.4,3.22,0.69,8,"Bo"
0.59,0.39,10.3,3.37,0.58,5,"Normal"
0.63,0.21,9.6,3.28,0.58,5,"Normal"
0.33,0.63,11.2,3.26,0.74,7,"Bo"
0.58,0.66,9,3.25,0.57,3,"Dolent"
0.43,0.52,11.3,3.35,0.61,6,"Normal"
0.615,0.22,9.3,3.26,0.61,5,"Normal"
0.26,0.68,11.8,3.18,0.61,5,"Normal"
0.66,0.7,9,3.08,0.53,5,"Normal"
0.315,0.54,9.2,2.98,0.7,6,"Normal"
0.29,0.4,9.7,3.48,0.91,5,"Normal"
0.5,0.42,11.5,3.16,0.72,6,"Normal"
0.46,0.45,14,3.32,0.79,6,"Normal"
0.36,0.69,9.2,3.17,0.62,6,"Normal"
0.82,0.02,9.8,3.2,0.58,5,"Normal"
0.32,0.65,10.6,3.05,0.61,5,"Normal"
0.54,0.42,11.4,3.2,0.71,6,"Normal"
0.37,0.55,10.4,3.15,0.82,6,"Normal"
0.35,0.55,10.6,3.26,0.79,5,"Normal"
0.28,0.51,9.4,3.2,0.89,6,"Normal"
0.68,0.24,10.2,3.14,0.6,5,"Normal"
0.27,0.41,9.7,3.28,0.7,5,"Normal"
0.24,0.49,11,3.18,1.06,6,"Normal"
0.68,0.24,10.2,3.14,0.6,5,"Normal"
0.685,0.11,10.1,3.19,0.7,6,"Normal"
0.28,0.39,9.2,3.12,0.66,5,"Normal"
0.3,0.56,11.7,3.15,0.92,8,"Bo"
0.36,0.59,9.4,3.04,1.05,5,"Normal"
0.36,0.6,9.4,3.04,1.06,5,"Normal"
0.44,0.68,13.4,3.06,0.66,6,"Normal"
0.67,0.39,10,3.17,0.47,5,"Normal"
0.67,0.39,10,3.17,0.47,5,"Normal"
0.645,0.36,10,3.17,0.42,6,"Normal"
0.32,0.55,10.8,3.32,0.92,7,"Bo"
0.39,0.4,10.2,3.34,0.75,6,"Normal"
0.775,0.27,10.6,3.31,0.67,6,"Normal"
0.41,0.5,13.3,3.34,0.79,7,"Bo"
0.4,0.51,13.4,3.32,0.9,7,"Bo"
0.69,0.31,11.6,3.48,0.74,6,"Normal"
0.39,0.23,12.1,3.44,0.55,6,"Normal"
0.35,0.53,11,3.15,0.65,8,"Bo"
0.52,0.25,9,3.43,0.65,6,"Normal"
0.34,0.32,11.1,3.32,0.79,5,"Normal"
0.35,0.53,11,3.15,0.65,8,"Bo"
0.69,0.31,11.6,3.48,0.74,6,"Normal"
0.52,0.25,9,3.43,0.65,6,"Normal"
0.44,0.73,12,3.17,0.85,7,"Bo"
0.44,0.73,12,3.17,0.85,7,"Bo"
0.26,0.47,10.9,3.18,1.04,7,"Bo"
